Data;s_1001;s_1002;s_1003;s_1004;s_1005;s_1006;s_1007;s_1008;s_1009;s_1010;s_1011;s_1012;s_1013;s_1014;s_1015;s_1016;s_1018;s_1019;s_1020;s_1021;s_1022;s_1028;s_1029;s_1030;s_1031;s_1032;s_1033;s_1034;s_1035;s_1036;s_1037
abr/98;NA;NA;NA;NA;14,76708724;39,12408558;91,29776327;NA;82,89278826;59,63790829;83,48874926;1503354144;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mai/98;NA;NA;NA;NA;14,98932747;38,79484713;93,75756225;NA;83,11372784;60,92093896;83,20682599;1605264319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jun/98;NA;NA;NA;NA;14,83596342;39,09293429;94,3118911;NA;82,08593224;60,74820801;83,562247;1566195965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jul/98;NA;NA;NA;NA;15,13914632;40,02513692;95,08068675;NA;82,08052084;61,42582354;80,91012504;1517433476;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ago/98;NA;NA;NA;NA;15,47099162;39,32735902;96,27006067;NA;82,00576548;62,39125774;82,88531734;1551770853;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
set/98;NA;NA;NA;NA;15,99145288;41,66247853;95,91984999;NA;81,62005293;66,20377109;84,70258074;1497328417;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
out/98;NA;NA;NA;NA;16,65580175;41,49328139;96,39669267;NA;81,77634762;60,67274098;81,68557983;1509946630;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nov/98;NA;NA;NA;NA;17,62389289;42,7638256;96,23577804;NA;81,58363274;62,74126758;83,52046876;1613640677;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dez/98;NA;NA;NA;NA;18,0650554;44,10310227;97,47610148;NA;80,38823954;59,22712198;83,2532791;1398644619;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jan/99;NA;NA;NA;NA;18,50857206;43,5071295;94,54093467;NA;79,98202055;55,4692069;82,44259635;1349295407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
fev/99;NA;NA;NA;NA;18,17721339;45,55683831;94,92947098;NA;80,32451286;64,34810668;84,61641626;1256862064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mar/99;NA;NA;NA;NA;18,45977365;45,99493945;93,91274771;NA;81,56211803;64,88355766;84,51043255;1670854378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
abr/99;NA;NA;NA;NA;18,42796585;45,26386872;92,45421825;NA;80,06333739;58,25957574;79,93367334;1506502268;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mai/99;NA;NA;NA;NA;18,43453617;43,85642397;89,97014003;NA;83,88615543;66,27688795;84,89431436;1453601157;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jun/99;NA;NA;NA;NA;18,84827994;41,99697312;89,78656945;NA;82,77752463;65,77035819;85,05327188;1482305778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jul/99;NA;NA;NA;NA;19,01331355;44,17736516;90,87849427;NA;83,37369482;64,45365206;84,93194548;1556658659;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ago/99;NA;NA;NA;NA;19,63893367;45,74789478;91,36745699;NA;83,20876913;73,9515139;90,42003098;1517244470;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
set/99;NA;NA;NA;NA;19,72740976;47,91045637;92,13789689;NA;83,13337724;69,8207806;89,19336233;1536357916;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
out/99;NA;NA;NA;NA;19,4399214;49,28715693;93,03202563;NA;83,49516068;71,30799772;89,87293732;1542597512;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nov/99;NA;NA;NA;NA;19,295474;48,76693617;93,87613618;NA;83,47758056;70,84765778;90,34154707;1499139682;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
